,sender_num,platform,ave_total_time,data_num,data_size,throughput[GB/s]
92,1,GPU-MPI,0.093106,640,8,0.052443585805426074
93,1,GPU-MPI,0.093101,640,8,0.05244640229428255
94,1,GPU-MPI,0.093098,640,8,0.052448092332810586
95,1,GPU-MPI,0.093107,640,8,0.05244302254395481
96,1,GPU-MPI,0.093102,640,8,0.052445838972309936
97,1,GPU-MPI,0.093103,640,8,0.052445275662438375
98,1,GPU-MPI,0.093103,640,8,0.052445275662438375
99,1,GPU-MPI,0.093098,640,8,0.052448092332810586
100,1,GPU-MPI,0.093101,640,8,0.05244640229428255
101,1,GPU-MPI,0.093093,640,8,0.05245090930574802
102,1,GPU-MPI,0.093093,640,8,0.05245090930574802
103,1,GPU-MPI,0.093101,640,8,0.05244640229428255
104,1,GPU-MPI,0.093107,640,8,0.05244302254395481
105,1,GPU-MPI,0.093104,640,8,0.05244471236466747
106,1,GPU-MPI,0.093111,640,8,0.052440769619056825
107,1,GPU-MPI,0.0931,640,8,0.05244696562835661
108,1,GPU-MPI,0.093101,640,8,0.05244640229428255
109,1,GPU-MPI,0.09312,640,8,0.05243570124570447
110,1,GPU-MPI,0.093096,640,8,0.052449219085675
111,1,GPU-MPI,0.093092,640,8,0.052451472736647624
112,1,GPU-MPI,0.093105,640,8,0.05244414907899683
113,1,GPU-MPI,0.093105,640,8,0.05244414907899683
114,1,GPU-MPI,0.093106,640,8,0.052443585805426074
115,1,GPU-MPI,0.093103,640,8,0.052445275662438375
116,1,GPU-MPI,0.093117,640,8,0.052437390594628264
117,1,GPU-MPI,0.093144,640,8,0.05242219037189728
118,1,GPU-MPI,0.093145,640,8,0.05242162756991787
119,1,GPU-MPI,0.093113,640,8,0.05243964322919464
120,1,GPU-MPI,0.093106,640,8,0.052443585805426074
121,1,GPU-MPI,0.093104,640,8,0.05244471236466747
122,1,GPU-MPI,0.093101,640,8,0.05244640229428255
123,1,GPU-MPI,0.0931,640,8,0.05244696562835661
124,1,GPU-MPI,0.093121,640,8,0.05243513815358512
125,1,GPU-MPI,0.093102,640,8,0.052445838972309936
126,1,GPU-MPI,0.093099,640,8,0.05244752897453249
127,1,GPU-MPI,0.093109,640,8,0.05244189605730918
128,1,GPU-MPI,0.093103,640,8,0.052445275662438375
129,1,GPU-MPI,0.093096,640,8,0.052449219085675
130,1,GPU-MPI,0.093102,640,8,0.052445838972309936
131,1,GPU-MPI,0.093111,640,8,0.052440769619056825
132,1,GPU-MPI,0.093095,640,8,0.0524497824802621
133,1,GPU-MPI,0.093103,640,8,0.052445275662438375
134,1,GPU-MPI,0.093098,640,8,0.052448092332810586
135,1,GPU-MPI,0.09309,640,8,0.05245259963476206
136,1,GPU-MPI,0.093097,640,8,0.052448655703191294
137,1,GPU-MPI,0.093097,640,8,0.052448655703191294
138,1,GPU-MPI,0.093116,640,8,0.052437953735126074
139,1,GPU-MPI,0.093108,640,8,0.05244245929458264
140,1,GPU-MPI,0.093104,640,8,0.05244471236466747
141,1,GPU-MPI,0.093161,640,8,0.05241262438144718
142,1,GPU-MPI,0.093104,640,8,0.05244471236466747
143,1,GPU-MPI,0.093107,640,8,0.05244302254395481
144,1,GPU-MPI,0.09314,640,8,0.05242444170066567
145,1,GPU-MPI,0.093131,640,8,0.052429507897477745
146,1,GPU-MPI,0.093089,640,8,0.05245316310197767
147,1,GPU-MPI,0.093102,640,8,0.052445838972309936
148,1,GPU-MPI,0.093096,640,8,0.052449219085675
149,1,GPU-MPI,0.093103,640,8,0.052445275662438375
150,1,GPU-MPI,0.093098,640,8,0.052448092332810586
151,1,GPU-MPI,0.09311,640,8,0.052441332832134036
152,1,GPU-MPI,0.093124,640,8,0.05243344894978738
153,1,GPU-MPI,0.093104,640,8,0.05244471236466747
154,1,GPU-MPI,0.093109,640,8,0.05244189605730918
155,1,GPU-MPI,0.0931,640,8,0.05244696562835661
156,1,GPU-MPI,0.093099,640,8,0.05244752897453249
157,1,GPU-MPI,0.093107,640,8,0.05244302254395481
158,1,GPU-MPI,0.093109,640,8,0.05244189605730918
159,1,GPU-MPI,0.093101,640,8,0.05244640229428255
160,1,GPU-MPI,0.09311,640,8,0.052441332832134036
161,1,GPU-MPI,0.093097,640,8,0.052448655703191294
162,1,GPU-MPI,0.093083,640,8,0.052456544159513556
163,1,GPU-MPI,0.093086,640,8,0.05245485357626281
164,1,GPU-MPI,0.093082,640,8,0.052457107711480204
165,1,GPU-MPI,0.09309,640,8,0.05245259963476206
166,1,GPU-MPI,0.093099,640,8,0.05244752897453249
167,1,GPU-MPI,0.093087,640,8,0.052454290072727665
168,1,GPU-MPI,0.093088,640,8,0.05245372658129941
169,1,GPU-MPI,0.093081,640,8,0.0524576712755557
170,1,GPU-MPI,0.093106,640,8,0.052443585805426074
171,1,GPU-MPI,0.093094,640,8,0.05245034588695297
172,1,GPU-MPI,0.093146,640,8,0.05242106478002276
173,1,GPU-MPI,0.093095,640,8,0.0524497824802621
174,1,GPU-MPI,0.093089,640,8,0.05245316310197767
175,1,GPU-MPI,0.093086,640,8,0.05245485357626281
176,1,GPU-MPI,0.093096,640,8,0.052449219085675
177,1,GPU-MPI,0.093089,640,8,0.05245316310197767
178,1,GPU-MPI,0.093089,640,8,0.05245316310197767
179,1,GPU-MPI,0.093092,640,8,0.052451472736647624
180,1,GPU-MPI,0.093101,640,8,0.05244640229428255
181,1,GPU-MPI,0.093099,640,8,0.05244752897453249
182,1,GPU-MPI,0.093107,640,8,0.05244302254395481
183,1,GPU-MPI,0.093102,640,8,0.052445838972309936
184,1,GPU-MPI,0.093101,640,8,0.05244640229428255
185,1,GPU-MPI,0.093101,640,8,0.05244640229428255
186,1,GPU-MPI,0.093111,640,8,0.052440769619056825
187,1,GPU-MPI,0.093114,640,8,0.052439080052408875
188,1,GPU-MPI,0.093103,640,8,0.052445275662438375
189,1,GPU-MPI,0.093095,640,8,0.0524497824802621
190,1,GPU-MPI,0.093096,640,8,0.052449219085675
191,1,GPU-MPI,0.093082,640,8,0.052457107711480204
192,1,GPU-MPI,0.093091,640,8,0.052452036179652176
193,1,GPU-MPI,0.093094,640,8,0.05245034588695297
194,1,GPU-MPI,0.093091,640,8,0.052452036179652176
195,1,GPU-MPI,0.093092,640,8,0.052451472736647624
196,1,GPU-MPI,0.093091,640,8,0.052452036179652176
197,1,GPU-MPI,0.093093,640,8,0.05245090930574802
198,1,GPU-MPI,0.093094,640,8,0.05245034588695297
199,1,GPU-MPI,0.093116,640,8,0.052437953735126074
200,1,GPU-MPI,0.093143,640,8,0.05242275318596137
201,1,GPU-MPI,0.093105,640,8,0.05244414907899683
202,1,GPU-MPI,0.093101,640,8,0.05244640229428255
203,1,GPU-MPI,0.093108,640,8,0.05244245929458264
204,1,GPU-MPI,0.093095,640,8,0.0524497824802621
205,1,GPU-MPI,0.093102,640,8,0.052445838972309936
206,1,GPU-MPI,0.09311,640,8,0.052441332832134036
207,1,GPU-MPI,0.093099,640,8,0.05244752897453249
208,1,GPU-MPI,0.093101,640,8,0.05244640229428255
209,1,GPU-MPI,0.0931,640,8,0.05244696562835661
210,1,GPU-MPI,0.093096,640,8,0.052449219085675
211,1,GPU-MPI,0.09309,640,8,0.05245259963476206
212,1,GPU-MPI,0.093126,640,8,0.05243232287438524
213,1,GPU-MPI,0.093101,640,8,0.05244640229428255
214,1,GPU-MPI,0.093095,640,8,0.0524497824802621
215,1,GPU-MPI,0.093084,640,8,0.05245598061965537
216,1,GPU-MPI,0.09309,640,8,0.05245259963476206
217,1,GPU-MPI,0.09309,640,8,0.05245259963476206
218,1,GPU-MPI,0.093087,640,8,0.052454290072727665
219,1,GPU-MPI,0.093101,640,8,0.05244640229428255
220,1,GPU-MPI,0.093088,640,8,0.05245372658129941
221,1,GPU-MPI,0.093172,640,8,0.052406436483063576
222,1,GPU-MPI,0.093093,640,8,0.05245090930574802
223,1,GPU-MPI,0.093086,640,8,0.05245485357626281
224,1,GPU-MPI,0.093091,640,8,0.052452036179652176
225,1,GPU-MPI,0.093085,640,8,0.052455417091905245
226,1,GPU-MPI,0.093113,640,8,0.05243964322919464
227,1,GPU-MPI,0.093179,640,8,0.05240249949022849
228,1,GPU-MPI,0.093098,640,8,0.052448092332810586
229,1,GPU-MPI,0.093095,640,8,0.0524497824802621
230,1,GPU-MPI,0.093098,640,8,0.052448092332810586
231,1,GPU-MPI,0.093093,640,8,0.05245090930574802
232,1,GPU-MPI,0.093102,640,8,0.052445838972309936
233,1,GPU-MPI,0.093093,640,8,0.05245090930574802
234,1,GPU-MPI,0.093095,640,8,0.0524497824802621
235,1,GPU-MPI,0.093078,640,8,0.0524593620404392
236,1,GPU-MPI,0.093101,640,8,0.05244640229428255
237,1,GPU-MPI,0.093097,640,8,0.052448655703191294
238,1,GPU-MPI,0.093106,640,8,0.052443585805426074
239,1,GPU-MPI,0.093112,640,8,0.05244020641807715
240,1,GPU-MPI,0.093111,640,8,0.052440769619056825
241,1,GPU-MPI,0.093099,640,8,0.05244752897453249
242,1,GPU-MPI,0.09311,640,8,0.052441332832134036
243,1,GPU-MPI,0.093114,640,8,0.052439080052408875
244,1,GPU-MPI,0.093113,640,8,0.05243964322919464
245,1,GPU-MPI,0.093107,640,8,0.05244302254395481
246,1,GPU-MPI,0.093104,640,8,0.05244471236466747
247,1,GPU-MPI,0.093104,640,8,0.05244471236466747
248,1,GPU-MPI,0.0931,640,8,0.05244696562835661
249,1,GPU-MPI,0.093097,640,8,0.052448655703191294
250,1,GPU-MPI,0.093109,640,8,0.05244189605730918
251,1,GPU-MPI,0.093106,640,8,0.052443585805426074
252,1,GPU-MPI,0.093097,640,8,0.052448655703191294
253,1,GPU-MPI,0.093095,640,8,0.0524497824802621
254,1,GPU-MPI,0.093116,640,8,0.052437953735126074
255,1,GPU-MPI,0.093098,640,8,0.052448092332810586
256,1,GPU-MPI,0.093101,640,8,0.05244640229428255
257,1,GPU-MPI,0.093106,640,8,0.052443585805426074
258,1,GPU-MPI,0.09311,640,8,0.052441332832134036
259,1,GPU-MPI,0.093116,640,8,0.052437953735126074
260,1,GPU-MPI,0.093118,640,8,0.05243682746622565
261,1,GPU-MPI,0.093114,640,8,0.052439080052408875
262,1,GPU-MPI,0.093118,640,8,0.05243682746622565
263,1,GPU-MPI,0.093115,640,8,0.052438516887719486
264,1,GPU-MPI,0.093122,640,8,0.05243457507355942
265,1,GPU-MPI,0.093113,640,8,0.05243964322919464
266,1,GPU-MPI,0.093114,640,8,0.052439080052408875
267,1,GPU-MPI,0.093106,640,8,0.052443585805426074
268,1,GPU-MPI,0.09311,640,8,0.052441332832134036
269,1,GPU-MPI,0.093107,640,8,0.05244302254395481
270,1,GPU-MPI,0.093116,640,8,0.052437953735126074
271,1,GPU-MPI,0.093108,640,8,0.05244245929458264
272,1,GPU-MPI,0.093111,640,8,0.052440769619056825
273,1,GPU-MPI,0.093117,640,8,0.052437390594628264
274,1,GPU-MPI,0.093115,640,8,0.052438516887719486
275,1,GPU-MPI,0.093108,640,8,0.05244245929458264
276,1,GPU-MPI,0.093103,640,8,0.052445275662438375
277,1,GPU-MPI,0.093114,640,8,0.052439080052408875
278,1,GPU-MPI,0.093105,640,8,0.05244414907899683
279,1,GPU-MPI,0.093101,640,8,0.05244640229428255
280,1,GPU-MPI,0.093097,640,8,0.052448655703191294
281,1,GPU-MPI,0.093105,640,8,0.05244414907899683
282,1,GPU-MPI,0.093128,640,8,0.052431196847349884
283,1,GPU-MPI,0.093105,640,8,0.05244414907899683
284,1,GPU-MPI,0.093087,640,8,0.052454290072727665
285,1,GPU-MPI,0.093101,640,8,0.05244640229428255
286,1,GPU-MPI,0.093103,640,8,0.052445275662438375
287,1,GPU-MPI,0.093097,640,8,0.052448655703191294
288,1,GPU-MPI,0.093106,640,8,0.052443585805426074
289,1,GPU-MPI,0.093105,640,8,0.05244414907899683
290,1,GPU-MPI,0.093105,640,8,0.05244414907899683
291,1,GPU-MPI,0.0931,640,8,0.05244696562835661
292,1,GPU-MPI,0.093095,640,8,0.0524497824802621
293,1,GPU-MPI,0.093107,640,8,0.05244302254395481
294,1,GPU-MPI,0.093112,640,8,0.05244020641807715
295,1,GPU-MPI,0.093111,640,8,0.052440769619056825
296,1,GPU-MPI,0.093109,640,8,0.05244189605730918
297,1,GPU-MPI,0.093097,640,8,0.052448655703191294
298,1,GPU-MPI,0.093099,640,8,0.05244752897453249
299,1,GPU-MPI,0.093084,640,8,0.05245598061965537
300,1,GPU-MPI,0.093106,640,8,0.052443585805426074
301,1,GPU-MPI,0.093109,640,8,0.05244189605730918
302,1,GPU-MPI,0.093088,640,8,0.05245372658129941
303,1,GPU-MPI,0.093081,640,8,0.0524576712755557
304,1,GPU-MPI,0.093097,640,8,0.052448655703191294
305,1,GPU-MPI,0.093107,640,8,0.05244302254395481
306,1,GPU-MPI,0.09311,640,8,0.052441332832134036
307,1,GPU-MPI,0.093115,640,8,0.052438516887719486
308,1,GPU-MPI,0.093099,640,8,0.05244752897453249
309,1,GPU-MPI,0.093096,640,8,0.052449219085675
310,1,GPU-MPI,0.0931,640,8,0.05244696562835661
311,1,GPU-MPI,0.093099,640,8,0.05244752897453249
312,1,GPU-MPI,0.093108,640,8,0.05244245929458264
313,1,GPU-MPI,0.093109,640,8,0.05244189605730918
314,1,GPU-MPI,0.09314,640,8,0.05242444170066567
315,1,GPU-MPI,0.093135,640,8,0.05242725613356955
316,1,GPU-MPI,0.093103,640,8,0.052445275662438375
317,1,GPU-MPI,0.093099,640,8,0.05244752897453249
318,1,GPU-MPI,0.093109,640,8,0.05244189605730918
319,1,GPU-MPI,0.093093,640,8,0.05245090930574802
320,1,GPU-MPI,0.093092,640,8,0.052451472736647624
321,1,GPU-MPI,0.093106,640,8,0.052443585805426074
322,1,GPU-MPI,0.093091,640,8,0.052452036179652176
323,1,GPU-MPI,0.093095,640,8,0.0524497824802621
324,1,GPU-MPI,0.093082,640,8,0.052457107711480204
325,1,GPU-MPI,0.093099,640,8,0.05244752897453249
326,1,GPU-MPI,0.093087,640,8,0.052454290072727665
327,1,GPU-MPI,0.093076,640,8,0.05246048927757961
328,1,GPU-MPI,0.093081,640,8,0.0524576712755557
329,1,GPU-MPI,0.093084,640,8,0.05245598061965537
330,1,GPU-MPI,0.093091,640,8,0.052452036179652176
331,1,GPU-MPI,0.093093,640,8,0.05245090930574802
332,1,GPU-MPI,0.093089,640,8,0.05245316310197767
333,1,GPU-MPI,0.093091,640,8,0.052452036179652176
334,1,GPU-MPI,0.093082,640,8,0.052457107711480204
335,1,GPU-MPI,0.093086,640,8,0.05245485357626281
336,1,GPU-MPI,0.093098,640,8,0.052448092332810586
337,1,GPU-MPI,0.093105,640,8,0.05244414907899683
338,1,GPU-MPI,0.093098,640,8,0.052448092332810586
339,1,GPU-MPI,0.093091,640,8,0.052452036179652176
340,1,GPU-MPI,0.093083,640,8,0.052456544159513556
341,1,GPU-MPI,0.093089,640,8,0.05245316310197767
342,1,GPU-MPI,0.093095,640,8,0.0524497824802621
343,1,GPU-MPI,0.093099,640,8,0.05244752897453249
344,1,GPU-MPI,0.093096,640,8,0.052449219085675
345,1,GPU-MPI,0.093092,640,8,0.052451472736647624
346,1,GPU-MPI,0.093101,640,8,0.05244640229428255
347,1,GPU-MPI,0.093093,640,8,0.05245090930574802
348,1,GPU-MPI,0.093097,640,8,0.052448655703191294
349,1,GPU-MPI,0.093113,640,8,0.05243964322919464
350,1,GPU-MPI,0.093102,640,8,0.052445838972309936
351,1,GPU-MPI,0.093101,640,8,0.05244640229428255
352,1,GPU-MPI,0.093099,640,8,0.05244752897453249
353,1,GPU-MPI,0.093093,640,8,0.05245090930574802
354,1,GPU-MPI,0.0931,640,8,0.05244696562835661
355,1,GPU-MPI,0.093109,640,8,0.05244189605730918
356,1,GPU-MPI,0.0931,640,8,0.05244696562835661
357,1,GPU-MPI,0.093108,640,8,0.05244245929458264
358,1,GPU-MPI,0.093094,640,8,0.05245034588695297
359,1,GPU-MPI,0.093104,640,8,0.05244471236466747
360,1,GPU-MPI,0.093098,640,8,0.052448092332810586
361,1,GPU-MPI,0.093098,640,8,0.052448092332810586
